index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm_artist_id,label
0,1,2021-02-15T00:00:00.000Z,Aesthetic,Xilo,QZFZ22071847,0.0,28796568.0,240,['2020-02-14T00:00:00.000Z'],3377623,
1,2,2021-02-15T00:00:00.000Z,"Rasputin (7"" Version)",Boney M.,DEC730800009,0.0,11461430.0,61,"['2008-05-12T00:00:00.000Z', '2010-07-30T00:00:00.000Z', '2009-01-01T00:00:00.000Z']",735,
2,3,2021-02-15T00:00:00.000Z,Paparazzi,Kim Dracula,QZNWY2036332,1.0,32313666.0,56,['2020-12-11T00:00:00.000Z'],3972008,
3,4,2021-02-15T00:00:00.000Z,WITHOUT YOU,The Kid LAROI,USSM12006586,3.28571428571429,31894832.0,70,['2020-11-06T00:00:00.000Z'],1333786,
5,6,2021-02-15T00:00:00.000Z,Oh No,Kreepa,USUYG1287925,-0.285714285714286,29425832.0,104,['2019-12-13T00:00:00.000Z'],437999,
6,7,2021-02-15T00:00:00.000Z,Buss It,Erica Banks,USUYG1312999,-0.571428571428571,29555553.0,49,"['2020-05-15T00:00:00.000Z', '2020-05-15T00:00:00.000Z', '2020-06-19T00:00:00.000Z', '2021-02-10T00:00:00.000Z', '2021-02-10T00:00:00.000Z', '2021-02-10T00:00:00.000Z']",1443482,
7,8,2021-02-15T00:00:00.000Z,Best Ever,Polo Frost,QM33K1600047,-0.428571428571429,13770151.0,33,['2016-11-18T00:00:00.000Z'],215565,
9,10,2021-02-15T00:00:00.000Z,Monkeys Spinning Monkeys,Kevin MacLeod,USUAN1400011,1.57142857142857,17158836.0,244,"['2014-12-30T00:00:00.000Z', '2019-10-10T00:00:00.000Z']",333690,
10,11,2021-02-15T00:00:00.000Z,Ampun Bang Jago,Tian Storm & Ever Slkr,IDA632000700,1.71428571428571,31809521.0,55,['2020-09-12T00:00:00.000Z'],4015440,
11,12,2021-02-15T00:00:00.000Z,Mds,Kawê Santos,QZHZ32082915,0.571428571428571,29519133.0,41,['2020-05-19T00:00:00.000Z'],1088461,
12,13,2021-02-15T00:00:00.000Z,Ropa Cara,Camilo,USSD12000609,-0.857142857142857,32594947.0,26,['2021-01-18T00:00:00.000Z'],1355995,
13,14,2021-02-15T00:00:00.000Z,3G - Remix,Wisin & Yandel & Farruko,USSD11900456,,28271261.0,6,"['2020-01-24T00:00:00.000Z', '2020-03-18T00:00:00.000Z']",206685,Sony Music Entertainment US Latin 
14,15,2021-02-15T00:00:00.000Z,Two®,Lil Uzi Vert,USAT21703425,2.0,15093943.0,11,"['2017-11-17T00:00:00.000Z', '2017-08-25T00:00:00.000Z']",5732,
15,16,2021-02-15T00:00:00.000Z,Up Down (Do This All Day) (feat. B.o.B),T-Pain,USRC11301140,18.5714285714286,15675733.0,35,"['2005-01-01T00:00:00.000Z', '2013-08-13T00:00:00.000Z']",209507,
17,18,2021-02-15T00:00:00.000Z,Dance Monkey,KIDZ BOP Kids,USAB02001281,-0.857142857142857,28412300.0,272,"['2020-02-07T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-12-18T00:00:00.000Z']",101144,
18,19,2021-02-15T00:00:00.000Z,Tokyo,Leat'eq,QZB4J1810678,,19210578.0,5,['2018-05-07T00:00:00.000Z'],113442,"Artist Intelligence Agency, Chill Trap, Plenum Records, Future Bass Records"
19,20,2021-02-15T00:00:00.000Z,Steven Universe,L.Dre,QZFZ32084911,-1.0,28637630.0,238,['2020-02-21T00:00:00.000Z'],751357,
20,21,2021-02-15T00:00:00.000Z,Bandook,Nirvair Pannu,FR96X2024977,-0.285714285714286,29644559.0,217,['2020-05-30T00:00:00.000Z'],1692046,
22,23,2021-02-15T00:00:00.000Z,Bad boy,Marwa Loud,FR7IX1800130,-1.14285714285714,18723926.0,25,"['2018-03-09T00:00:00.000Z', '2018-03-09T00:00:00.000Z']",387692,
