index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm_artist_id,before,after,listener_diff,percent increase,IG_f15,IG_f21,TW_f15,TW_f21,Tiktok_f15,Tiktok_f21,Tiktok Status
0,1,2021-01-21,Shower,Becky G,USRC11400866,3.14285714285714,15676244.0,64,"['2014-10-17T00:00:00.000Z', '2014-09-26T00:00:00.000Z', '2014-04-23T00:00:00.000Z', '2014-08-22T00:00:00.000Z', '2015-01-26T00:00:00.000Z', '2015-02-27T00:00:00.000Z', '2016-05-20T00:00:00.000Z', '2020-10-16T00:00:00.000Z']",4236,20283280.0,19992699.0,-290581.0,-1.432613462911324,25525546.0,25528130.0,3115739.0,3121029.0,6100000.0,6100000.0,Has Tiktok
1,2,2021-01-21,Buss It,Erica Banks,USUYG1312999,0.28571428571428603,29555553.0,24,"['2020-05-15T00:00:00.000Z', '2020-05-15T00:00:00.000Z']",1443482,1256798.0,2128992.0,872194.0,69.39810534389774,209532.0,241416.0,25781.0,26522.0,27600.0,55300.0,Has Tiktok
2,3,2021-01-21,Aesthetic,Xilo,QZFZ22071847,0.0,28796568.0,215,['2020-02-14T00:00:00.000Z'],3377623,66938.0,80330.0,13392.0,20.00657324688518,,,,,,,No Tiktok
3,4,2021-01-21,Drugs (feat. Two Feet),UPSAHL,USQX91803133,19.1428571428571,22290224.0,55,"['2019-01-18T00:00:00.000Z', '2019-03-08T00:00:00.000Z']",521020,3223708.0,3388571.0,164863.0,5.114079811198781,91874.0,92955.0,7447.0,7609.0,488900.0,510400.0,Has Tiktok
4,5,2021-01-21,Oh No,Kreepa,USUYG1287925,0.28571428571428603,29425832.0,79,['2019-12-13T00:00:00.000Z'],437999,1452759.0,1482020.0,29261.0,2.014167525377575,,,,,,,No Tiktok
5,6,2021-01-21,Mds,Kawê Santos,QZHZ32082915,0.7142857142857142,29519133.0,16,['2020-05-19T00:00:00.000Z'],1088461,2375995.0,3051631.0,675636.0,28.435918425754263,778753.0,807797.0,1685.0,1732.0,,,No Tiktok
6,7,2021-01-21,COPINES,Nicole Flores,FRZ041800793,-0.14285714285714302,20438195.0,17,"['2018-08-24T00:00:00.000Z', '2018-09-24T00:00:00.000Z', '2018-11-02T00:00:00.000Z', '2018-11-02T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-05-24T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-10-25T00:00:00.000Z']",480386,12872109.0,12985344.0,113235.0,0.8796926750697962,2704208.0,2711238.0,1037000.0,1042067.0,1200000.0,1200000.0,Has Tiktok
7,8,2021-01-21,Adderall (Corvette Corvette),Popp Hunna,USA2P2036916,0.0,31753663.0,64,"['2020-10-15T00:00:00.000Z', '2020-10-14T00:00:00.000Z']",3436485,6455674.0,6752950.0,297276.0,4.6048793665851155,168952.0,172558.0,226.0,232.0,374600.0,386000.0,Has Tiktok
8,9,2021-01-21,F Boy,Ander Huang & DJ Kuromi,QZHNC2078374,0.14285714285714302,31595311.0,83,"['2020-08-22T00:00:00.000Z', '2020-12-02T00:00:00.000Z']",3581033,37976.0,44630.0,6654.0,17.521592584790394,,,,,,,No Tiktok
9,10,2021-01-21,Do Dat (Tik Tok Resume),Semme,QZHNA2090657,-1.28571428571429,31931701.0,30,['2020-07-08T00:00:00.000Z'],3296976,17945.0,28104.0,10159.0,56.61186960156033,,,,,,,No Tiktok
